VAL;ST;Len;Type;Min;Max;Description
VAL;A3MHHI;10;N;874384.29;7209440.55;3-methylhistidine-hi_874384.29_7209440.55
NAME;A3MHHI;10;N;;;3-methylhistidine-hi
VAL;A3MHMS;4;N;0.0;0.01;3-methylhistidine-ms_0.0_0.01
VAL;A3MHMS;4;N;0.01;0.02;3-methylhistidine-ms_0.01_0.02
VAL;A3MHMS;4;N;0.02;0.04;3-methylhistidine-ms_0.02_0.04
VAL;A3MHMS;4;N;0.04;0.08;3-methylhistidine-ms_0.04_0.08
VAL;A3MHMS;4;N;0.08;0.51;3-methylhistidine-ms_0.08_0.51
NAME;A3MHMS;4;N;;;3-methylhistidine-ms
VAL;A3MHMU;4;N;0.05;0.67;3-methylhistidine-mu_0.05_0.67
VAL;A3MHMU;4;N;0.67;1.72;3-methylhistidine-mu_0.67_1.72
VAL;A3MHMU;4;N;1.72;3.54;3-methylhistidine-mu_1.72_3.54
VAL;A3MHMU;4;N;3.54;7.41;3-methylhistidine-mu_3.54_7.41
VAL;A3MHMU;5;N;7.41;55.62;3-methylhistidine-mu_7.41_55.62
NAME;A3MHMU;5;N;;;3-methylhistidine-mu
VAL;A4AB;5;N;0.0;63.22;4-aminobutyric-acid_0.0_63.22
NAME;A4AB;5;N;;;4-aminobutyric-acid
VAL;A4HPMS;4;N;0.02;0.04;4-hydroxyproline-ms_0.02_0.04
VAL;A4HPMS;4;N;0.04;0.05;4-hydroxyproline-ms_0.04_0.05
VAL;A4HPMS;4;N;0.05;0.07;4-hydroxyproline-ms_0.05_0.07
VAL;A4HPMS;3;N;0.07;0.1;4-hydroxyproline-ms_0.07_0.1
VAL;A4HPMS;4;N;0.1;0.28;4-hydroxyproline-ms_0.1_0.28
NAME;A4HPMS;4;N;;;4-hydroxyproline-ms
VAL;A4HPMU;4;N;0.0;0.01;4-hydroxyproline-mu_0.0_0.01
VAL;A4HPMU;4;N;0.01;0.01;4-hydroxyproline-mu_0.01_0.01
VAL;A4HPMU;4;N;0.01;0.02;4-hydroxyproline-mu_0.01_0.02
VAL;A4HPMU;4;N;0.02;0.03;4-hydroxyproline-mu_0.02_0.03
VAL;A4HPMU;4;N;0.03;0.77;4-hydroxyproline-mu_0.03_0.77
NAME;A4HPMU;4;N;;;4-hydroxyproline-mu
VAL;A5HS;8;N;4032.69;79191.51;5-hiaa-sulfate_4032.69_79191.51
VAL;A5HS;9;N;79191.51;188287.86;5-hiaa-sulfate_79191.51_188287.86
VAL;A5HS;9;N;188287.86;423073.69;5-hiaa-sulfate_188287.86_423073.69
VAL;A5HS;8;N;423073.69;749470.5;5-hiaa-sulfate_423073.69_749470.5
VAL;A5HS;10;N;749470.5;4716125.25;5-hiaa-sulfate_749470.5_4716125.25
NAME;A5HS;10;N;;;5-hiaa-sulfate
VAL;A5HIAA;8;N;16603.34;65386.78;5hiaa_16603.34_65386.78
VAL;A5HIAA;8;N;65386.78;98447.35;5hiaa_65386.78_98447.35
VAL;A5HIAA;9;N;98447.35;129650.99;5hiaa_98447.35_129650.99
VAL;A5HIAA;8;N;129650.99;180177.5;5hiaa_129650.99_180177.5
VAL;A5HIAA;9;N;180177.5;659488.12;5hiaa_180177.5_659488.12
NAME;A5HIAA;9;N;;;5hiaa
VAL;DIET;1;C;0;0;are you following a specific diet?_no diet
VAL;DIET;1;C;1;1;are you following a specific diet?_other (please specify below)
VAL;DIET;1;C;2;2;are you following a specific diet?_vegetarian
VAL;DIET;1;C;3;3;are you following a specific diet?_vegan
VAL;DIET;1;C;4;4;are you following a specific diet?_other
VAL;DIET;1;C;5;5;are you following a specific diet?_gluten-free diet
VAL;DIET;1;C;6;6;are you following a specific diet?_keto diet
NAME;DIET;1;C;;;are you following a specific diet?
VAL;PREGP;1;C;0;0;are you pregnant, breast feeding, planning to get pregnant or your partner is planning to get pregnant, in the next 12 months?_no
NAME;PREGP;1;C;;;are you pregnant, breast feeding, planning to get pregnant or your partner is planning to get pregnant, in the next 12 months?
VAL;BMI25;5;N;24.98;28.04;bmi (>25 kg/m2)_24.98_28.04
VAL;BMI25;5;N;28.04;29.92;bmi (>25 kg/m2)_28.04_29.92
VAL;BMI25;5;N;29.92;32.36;bmi (>25 kg/m2)_29.92_32.36
VAL;BMI25;5;N;32.36;36.72;bmi (>25 kg/m2)_32.36_36.72
VAL;BMI25;5;N;36.72;50.41;bmi (>25 kg/m2)_36.72_50.41
NAME;BMI25;5;N;;;bmi (>25 kg/m2)
VAL;CIOR;1;C;0;0;city of residence_london
VAL;CIOR;1;C;1;1;city of residence_thessaloniki
VAL;CIOR;1;C;2;2;city of residence_valencia
VAL;CIOR;1;C;3;3;city of residence_dunstable
VAL;CIOR;1;C;4;4;city of residence_kerry
VAL;CIOR;1;C;5;5;city of residence_la pobla llarga
VAL;CIOR;1;C;6;6;city of residence_48970.0
VAL;CIOR;1;C;7;7;city of residence_48200.0
VAL;CIOR;1;C;8;8;city of residence_st. luke's
VAL;CIOR;1;C;9;9;city of residence_alboraya
VAL;CIOR;2;C;10;10;city of residence_getxo
VAL;CIOR;2;C;11;11;city of residence_serres
VAL;CIOR;2;C;12;12;city of residence_sopelana
VAL;CIOR;2;C;13;13;city of residence_kerry pike
VAL;CIOR;2;C;14;14;city of residence_essex
VAL;CIOR;2;C;15;15;city of residence_tallow
VAL;CIOR;2;C;16;16;city of residence_durango
VAL;CIOR;2;C;17;17;city of residence_leliamlara
VAL;CIOR;2;C;18;18;city of residence_southampton
VAL;CIOR;2;C;19;19;city of residence_48005.0
VAL;CIOR;2;C;20;20;city of residence_godmanchester
VAL;CIOR;2;C;21;21;city of residence_48830.0
VAL;CIOR;2;C;22;22;city of residence_cork
VAL;CIOR;2;C;23;23;city of residence_48903.0
VAL;CIOR;2;C;24;24;city of residence_albalat dels sorells
VAL;CIOR;2;C;25;25;city of residence_pinedo
VAL;CIOR;2;C;26;26;city of residence_48006.0
VAL;CIOR;2;C;27;27;city of residence_48012.0
VAL;CIOR;2;C;28;28;city of residence_plentzia
VAL;CIOR;2;C;29;29;city of residence_cobh
VAL;CIOR;2;C;30;30;city of residence_nan
VAL;CIOR;2;C;31;31;city of residence_48112.0
VAL;CIOR;2;C;32;32;city of residence_48013.0
VAL;CIOR;2;C;33;33;city of residence_la pobla de vallbona
VAL;CIOR;2;C;34;34;city of residence_48950.0
VAL;CIOR;2;C;35;35;city of residence_chiva
VAL;CIOR;2;C;36;36;city of residence_portugalete
VAL;CIOR;2;C;37;37;city of residence_northampton
VAL;CIOR;2;C;38;38;city of residence_welwyn
VAL;CIOR;2;C;39;39;city of residence_castlemartyr
VAL;CIOR;2;C;40;40;city of residence_alexandria (imathias)
VAL;CIOR;2;C;41;41;city of residence_chalkidiki
VAL;CIOR;2;C;42;42;city of residence_bermeo
VAL;CIOR;2;C;43;43;city of residence_mislata
VAL;CIOR;2;C;44;44;city of residence_picaña
VAL;CIOR;2;C;45;45;city of residence_clare
VAL;CIOR;2;C;46;46;city of residence_albal
VAL;CIOR;2;C;47;47;city of residence_xátiva
VAL;CIOR;2;C;48;48;city of residence_alcacer
VAL;CIOR;2;C;49;49;city of residence_naas
VAL;CIOR;2;C;50;50;city of residence_blackpool
VAL;CIOR;2;C;51;51;city of residence_limerick
VAL;CIOR;2;C;52;52;city of residence_cork ireland
NAME;CIOR;2;C;;;city of residence
