VAL;ST;Len;Type;Min;Max;Description
VAL;POR;2;C;27;27;place of residence_48012.0
VAL;POR;2;C;28;28;place of residence_plentzia
VAL;POR;2;C;29;29;place of residence_cobh, ireland
VAL;POR;2;C;30;30;place of residence_nan
VAL;POR;2;C;31;31;place of residence_48112.0
VAL;POR;2;C;32;32;place of residence_48013.0
VAL;POR;2;C;33;33;place of residence_la pobla de vallbona, valencia
VAL;POR;2;C;34;34;place of residence_48950.0
VAL;POR;2;C;35;35;place of residence_chiva, valencia
VAL;POR;2;C;36;36;place of residence_portugalete
VAL;POR;2;C;37;37;place of residence_northampton, uk
VAL;POR;2;C;38;38;place of residence_welwyn, uk
VAL;POR;2;C;39;39;place of residence_castlemartyr, cork
VAL;POR;2;C;40;40;place of residence_cork, ireland
VAL;POR;2;C;41;41;place of residence_thessaloniki
VAL;POR;2;C;42;42;place of residence_alexandria (imathias), greece
VAL;POR;2;C;43;43;place of residence_chalkidiki, greece
VAL;POR;2;C;44;44;place of residence_48370.0
VAL;POR;2;C;45;45;place of residence_mislata, valencia
VAL;POR;2;C;46;46;place of residence_picaña, valencia
VAL;POR;2;C;47;47;place of residence_clare, ireland
VAL;POR;2;C;48;48;place of residence_albal, valencia
VAL;POR;2;C;49;49;place of residence_xátiva, valencia
VAL;POR;2;C;50;50;place of residence_alcacer, valencia
VAL;POR;2;C;51;51;place of residence_naas, ireland
VAL;POR;2;C;52;52;place of residence_blackpool, cork, ireland
VAL;POR;2;C;53;53;place of residence_limerick
VAL;POR;2;C;54;54;place of residence_cork ireland
VAL;POR;2;C;55;55;place of residence_limerick, ireland
NAME;POR;2;C;;;place of residence
VAL;PGT;1;C;0;0;pregnancy test done on women of child-bearing age? report result_no
VAL;PGT;1;C;1;1;pregnancy test done on women of child-bearing age? report result_0.0
VAL;PGT;1;C;2;2;pregnancy test done on women of child-bearing age? report result_negative
VAL;PGT;1;C;3;3;pregnancy test done on women of child-bearing age? report result_yes, negative
NAME;PGT;1;C;;;pregnancy test done on women of child-bearing age? report result
VAL;TRI;1;C;0;0;raised triglycerides ( ≥ 100 mg/dl (1.7 mmol/l))_yes
VAL;TRI;1;C;1;1;raised triglycerides ( ≥ 100 mg/dl (1.7 mmol/l))_no
NAME;TRI;1;C;;;raised triglycerides ( ≥ 100 mg/dl (1.7 mmol/l))
VAL;BP;1;C;0;0;raised blood pressure: systolic bp ≥ 130 or diastolic bp ≥ 85 mm hg._yes
VAL;BP;1;C;1;1;raised blood pressure: systolic bp ≥ 130 or diastolic bp ≥ 85 mm hg._no
NAME;BP;1;C;;;raised blood pressure: systolic bp ≥ 130 or diastolic bp ≥ 85 mm hg.
VAL;FPG;1;C;0;0;raised fasting plasma glucose (fpg): ≥ 90 mg/dl (5.0 mmol/l)._no
VAL;FPG;1;C;1;1;raised fasting plasma glucose (fpg): ≥ 90 mg/dl (5.0 mmol/l)._yes
NAME;FPG;1;C;;;raised fasting plasma glucose (fpg): ≥ 90 mg/dl (5.0 mmol/l).
VAL;SLPQ;3;N;1.0;1.0;rate your sleep quality (1: very bad, 5: very good)_1.0_1.0
VAL;SLPQ;3;N;2.0;2.0;rate your sleep quality (1: very bad, 5: very good)_2.0_2.0
VAL;SLPQ;3;N;3.0;3.0;rate your sleep quality (1: very bad, 5: very good)_3.0_3.0
VAL;SLPQ;3;N;4.0;4.0;rate your sleep quality (1: very bad, 5: very good)_4.0_4.0
VAL;SLPQ;3;N;5.0;5.0;rate your sleep quality (1: very bad, 5: very good)_5.0_5.0
NAME;SLPQ;3;N;;;rate your sleep quality (1: very bad, 5: very good)
VAL;HDL;1;C;0;0;reduced hdl cholesterol: < 40 mg/dl (1.03 mmol/l) in males or < 50 mg/dl (1.29mmol/l) in females._no
VAL;HDL;1;C;1;1;reduced hdl cholesterol: < 40 mg/dl (1.03 mmol/l) in males or < 50 mg/dl (1.29mmol/l) in females._yes
NAME;HDL;1;C;;;reduced hdl cholesterol: < 40 mg/dl (1.03 mmol/l) in males or < 50 mg/dl (1.29mmol/l) in females.
VAL;PINCP;7;N;5160.0;13760.0;salary (annual net salary)_5160.0_13760.0
VAL;PINCP;7;N;13760.0;21500.0;salary (annual net salary)_13760.0_21500.0
VAL;PINCP;7;N;21500.0;30100.0;salary (annual net salary)_21500.0_30100.0
VAL;PINCP;7;N;30100.0;38700.0;salary (annual net salary)_30100.0_38700.0
VAL;PINCP;7;N;38700.0;51600.0;salary (annual net salary)_38700.0_51600.0
NAME;PINCP;7;N;;;salary (annual net salary)
VAL;SEX;1;C;0;0;sex_female
VAL;SEX;1;C;1;1;sex_male
NAME;SEX;1;C;;;sex
VAL;SMK;1;C;0;0;smoking status_current smoker
VAL;SMK;1;C;1;1;smoking status_never smoked
VAL;SMK;1;C;2;2;smoking status_former smoker
NAME;SMK;1;C;;;smoking status
VAL;SOW;1;C;0;0;status of worker_nan
VAL;SOW;1;C;1;1;status of worker_working
VAL;SOW;1;C;2;2;status of worker_not working
VAL;SOW;1;C;3;3;status of worker_retired
NAME;SOW;1;C;;;status of worker
VAL;SIT2;3;N;0.0;4.0;the last question is about the time you spent sitting on weekdays during the last 7 days.  include time spent at work, at home, while doing course work and during leisure time.  this may include time spent sitting at a desk, visiting friends, reading, or_0.0_4.0
VAL;SIT2;3;N;4.0;6.0;the last question is about the time you spent sitting on weekdays during the last 7 days.  include time spent at work, at home, while doing course work and during leisure time.  this may include time spent sitting at a desk, visiting friends, reading, or_4.0_6.0
VAL;SIT2;3;N;6.0;8.2;the last question is about the time you spent sitting on weekdays during the last 7 days.  include time spent at work, at home, while doing course work and during leisure time.  this may include time spent sitting at a desk, visiting friends, reading, or_6.0_8.2
VAL;SIT2;4;N;8.2;10.0;the last question is about the time you spent sitting on weekdays during the last 7 days.  include time spent at work, at home, while doing course work and during leisure time.  this may include time spent sitting at a desk, visiting friends, reading, or_8.2_10.0
VAL;SIT2;4;N;10.0;35.0;the last question is about the time you spent sitting on weekdays during the last 7 days.  include time spent at work, at home, while doing course work and during leisure time.  this may include time spent sitting at a desk, visiting friends, reading, or_10.0_35.0
NAME;SIT2;4;N;;;the last question is about the time you spent sitting on weekdays during the last 7 days.  include time spent at work, at home, while doing course work and during leisure time.  this may include time spent sitting at a desk, visiting friends, reading, or
VAL;MOD;3;N;0.0;2.0;think about all the moderate activities that you did in the last 7 days. moderate activities refer to activities that take moderate physical effort and make you breathe somewhat harder than normal. think only about those physical activities that you did f_0.0_2.0
VAL;MOD;3;N;2.0;3.0;think about all the moderate activities that you did in the last 7 days. moderate activities refer to activities that take moderate physical effort and make you breathe somewhat harder than normal. think only about those physical activities that you did f_2.0_3.0
VAL;MOD;3;N;3.0;7.0;think about all the moderate activities that you did in the last 7 days. moderate activities refer to activities that take moderate physical effort and make you breathe somewhat harder than normal. think only about those physical activities that you did f_3.0_7.0
NAME;MOD;3;N;;;think about all the moderate activities that you did in the last 7 days. moderate activities refer to activities that take moderate physical effort and make you breathe somewhat harder than normal. think only about those physical activities that you did f
VAL;DPC4;3;N;0.0;3.0;think about the time you spent walking in the last 7 days. this includes at work and at home, walking to travel from place to place, and any other walking that you have done solely for recreation, sport, exercise, or leisure.    during the last 7 days, on_0.0_3.0
VAL;DPC4;3;N;3.0;5.0;think about the time you spent walking in the last 7 days. this includes at work and at home, walking to travel from place to place, and any other walking that you have done solely for recreation, sport, exercise, or leisure.    during the last 7 days, on_3.0_5.0
VAL;DPC4;3;N;5.0;7.0;think about the time you spent walking in the last 7 days. this includes at work and at home, walking to travel from place to place, and any other walking that you have done solely for recreation, sport, exercise, or leisure.    during the last 7 days, on_5.0_7.0
NAME;DPC4;3;N;;;think about the time you spent walking in the last 7 days. this includes at work and at home, walking to travel from place to place, and any other walking that you have done solely for recreation, sport, exercise, or leisure.    during the last 7 days, on
VAL;SERIALNO;4;N;3.0;44.0;user id_3.0_44.0
VAL;SERIALNO;4;N;44.0;85.8;user id_44.0_85.8
VAL;SERIALNO;5;N;85.8;120.6;user id_85.8_120.6
VAL;SERIALNO;5;N;120.6;206.0;user id_120.6_206.0
VAL;SERIALNO;5;N;206.0;380.0;user id_206.0_380.0
NAME;SERIALNO;5;N;;;user id
VAL;PHY;3;N;0.0;1.0;we are interested in finding out about the kinds of physical activities that people do as part of their everyday lives.  the questions will ask you about the time you spent being physically active in the last 7 days. please answer each question even if yo_0.0_1.0
VAL;PHY;3;N;1.0;3.0;we are interested in finding out about the kinds of physical activities that people do as part of their everyday lives.  the questions will ask you about the time you spent being physically active in the last 7 days. please answer each question even if yo_1.0_3.0
VAL;PHY;3;N;3.0;7.0;we are interested in finding out about the kinds of physical activities that people do as part of their everyday lives.  the questions will ask you about the time you spent being physically active in the last 7 days. please answer each question even if yo_3.0_7.0
NAME;PHY;3;N;;;we are interested in finding out about the kinds of physical activities that people do as part of their everyday lives.  the questions will ask you about the time you spent being physically active in the last 7 days. please answer each question even if yo
VAL;PWGTP;4;N;58.1;74.4;weight (kg)_58.1_74.4
VAL;PWGTP;4;N;74.4;86.1;weight (kg)_74.4_86.1
VAL;PWGTP;4;N;86.1;93.8;weight (kg)_86.1_93.8
VAL;PWGTP;5;N;93.8;105.2;weight (kg)_93.8_105.2
VAL;PWGTP;5;N;105.2;151.6;weight (kg)_105.2_151.6
NAME;PWGTP;5;N;;;weight (kg)
VAL;WHL;4;N;0.0;11.0;women's health (only for women)  please fill in the following information:  years of menarche  years of menopause  number of children  number of full-term pregnancies  currently breastfeeding?  did you breastfeed your children? if yes, how many?_0.0_11.0
VAL;WHL;4;N;11.0;12.0;women's health (only for women)  please fill in the following information:  years of menarche  years of menopause  number of children  number of full-term pregnancies  currently breastfeeding?  did you breastfeed your children? if yes, how many?_11.0_12.0
VAL;WHL;4;N;12.0;14.0;women's health (only for women)  please fill in the following information:  years of menarche  years of menopause  number of children  number of full-term pregnancies  currently breastfeeding?  did you breastfeed your children? if yes, how many?_12.0_14.0
VAL;WHL;4;N;14.0;34.0;women's health (only for women)  please fill in the following information:  years of menarche  years of menopause  number of children  number of full-term pregnancies  currently breastfeeding?  did you breastfeed your children? if yes, how many?_14.0_34.0
VAL;WHL;4;N;34.0;47.0;women's health (only for women)  please fill in the following information:  years of menarche  years of menopause  number of children  number of full-term pregnancies  currently breastfeeding?  did you breastfeed your children? if yes, how many?_34.0_47.0
NAME;WHL;4;N;;;women's health (only for women)  please fill in the following information:  years of menarche  years of menopause  number of children  number of full-term pregnancies  currently breastfeeding?  did you breastfeed your children? if yes, how many?
VAL;WKTM;1;C;0;0;working time_full-time
VAL;WKTM;1;C;1;1;working time_part-time
VAL;WKTM;1;C;2;2;working time_shift worker
NAME;WKTM;1;C;;;working time
VAL;AKA;5;N;150.39;568.9;a-ketoglutaric-acid_150.39_568.9
VAL;AKA;6;N;568.9;843.51;a-ketoglutaric-acid_568.9_843.51
VAL;AKA;7;N;843.51;1340.79;a-ketoglutaric-acid_843.51_1340.79
VAL;AKA;7;N;1340.79;2528.32;a-ketoglutaric-acid_1340.79_2528.32
VAL;AKA;8;N;2528.32;14857.22;a-ketoglutaric-acid_2528.32_14857.22
NAME;AKA;8;N;;;a-ketoglutaric-acid
VAL;ABA1;4;N;0.23;0.49;aba1_0.23_0.49
VAL;ABA1;4;N;0.49;0.58;aba1_0.49_0.58
VAL;ABA1;4;N;0.58;0.67;aba1_0.58_0.67
VAL;ABA1;4;N;0.67;0.76;aba1_0.67_0.76
VAL;ABA1;4;N;0.76;1.28;aba1_0.76_1.28
NAME;ABA1;4;N;;;aba1
VAL;ABSI;4;N;0.06;0.08;absi(a-body-shaped-index)_0.06_0.08
VAL;ABSI;4;N;0.08;0.08;absi(a-body-shaped-index)_0.08_0.08
VAL;ABSI;4;N;0.08;0.08;absi(a-body-shaped-index)_0.08_0.08
VAL;ABSI;4;N;0.08;0.08;absi(a-body-shaped-index)_0.08_0.08
VAL;ABSI;4;N;0.08;0.09;absi(a-body-shaped-index)_0.08_0.09
NAME;ABSI;4;N;;;absi(a-body-shaped-index)
VAL;AC;4;N;29.6;33.4;ac-(arm-circumference)_29.6_33.4
VAL;AC;4;N;33.4;35.0;ac-(arm-circumference)_33.4_35.0
VAL;AC;4;N;35.0;36.7;ac-(arm-circumference)_35.0_36.7
VAL;AC;5;N;36.7;40.54;ac-(arm-circumference)_36.7_40.54
VAL;AC;4;N;40.54;59.3;ac-(arm-circumference)_40.54_59.3
NAME;AC;4;N;;;ac-(arm-circumference)
VAL;ACET;9;N;131299.31;797060.01;acetate_131299.31_797060.01
VAL;ACET;10;N;797060.01;1068691.84;acetate_797060.01_1068691.84
VAL;ACET;9;N;1068691.84;1375127.0;acetate_1068691.84_1375127.0
VAL;ACET;10;N;1375127.0;1710404.79;acetate_1375127.0_1710404.79
VAL;ACET;10;N;1710404.79;3081253.17;acetate_1710404.79_3081253.17
NAME;ACET;10;N;;;acetate
VAL;AACNS;4;N;0.0;0.02;acetic-acid-ns_0.0_0.02
VAL;AACNS;4;N;0.02;0.03;acetic-acid-ns_0.02_0.03
VAL;AACNS;4;N;0.03;0.12;acetic-acid-ns_0.03_0.12
VAL;AACNS;4;N;0.12;0.16;acetic-acid-ns_0.12_0.16
VAL;AACNS;4;N;0.16;0.25;acetic-acid-ns_0.16_0.25
NAME;AACNS;4;N;;;acetic-acid-ns
VAL;AACNU;4;N;0.0;4.64;acetic-acid-nu_0.0_4.64
VAL;AACNU;4;N;4.64;9.27;acetic-acid-nu_4.64_9.27
VAL;AACNU;5;N;9.27;160.0;acetic-acid-nu_9.27_160.0
VAL;AACNU;5;N;160.0;310.0;acetic-acid-nu_160.0_310.0
VAL;AACNU;5;N;310.0;710.0;acetic-acid-nu_310.0_710.0
NAME;AACNU;5;N;;;acetic-acid-nu
VAL;AAANS;4;N;0.0;0.01;acetoacetic-acid-ns_0.0_0.01
VAL;AAANS;4;N;0.01;0.01;acetoacetic-acid-ns_0.01_0.01
VAL;AAANS;4;N;0.01;0.02;acetoacetic-acid-ns_0.01_0.02
VAL;AAANS;4;N;0.02;0.04;acetoacetic-acid-ns_0.02_0.04
VAL;AAANS;4;N;0.04;0.35;acetoacetic-acid-ns_0.04_0.35
NAME;AAANS;4;N;;;acetoacetic-acid-ns
VAL;AAANU;3;N;0.0;3.0;acetoacetic-acid-nu_0.0_3.0
VAL;AAANU;4;N;3.0;6.99;acetoacetic-acid-nu_3.0_6.99
VAL;AAANU;5;N;6.99;11.99;acetoacetic-acid-nu_6.99_11.99
VAL;AAANU;6;N;11.99;316.11;acetoacetic-acid-nu_11.99_316.11
NAME;AAANU;6;N;;;acetoacetic-acid-nu
VAL;ACNNS;4;N;0.0;0.02;acetone-ns_0.0_0.02
VAL;ACNNS;4;N;0.02;0.03;acetone-ns_0.02_0.03
VAL;ACNNS;4;N;0.03;0.04;acetone-ns_0.03_0.04
VAL;ACNNS;4;N;0.04;0.06;acetone-ns_0.04_0.06
VAL;ACNNS;4;N;0.06;0.13;acetone-ns_0.06_0.13
NAME;ACNNS;4;N;;;acetone-ns
VAL;ACNNU;4;N;0.0;1.74;acetone-nu_0.0_1.74
VAL;ACNNU;3;N;1.74;2.8;acetone-nu_1.74_2.8
VAL;ACNNU;4;N;2.8;23.0;acetone-nu_2.8_23.0
VAL;ACNNU;5;N;23.0;130.0;acetone-nu_23.0_130.0
NAME;ACNNU;5;N;;;acetone-nu
VAL;ACR;9;N;48853.62;856325.44;acetylcarnitine_48853.62_856325.44
VAL;ACR;10;N;856325.44;1624847.87;acetylcarnitine_856325.44_1624847.87
VAL;ACR;10;N;1624847.87;2912852.81;acetylcarnitine_1624847.87_2912852.81
VAL;ACR;10;N;2912852.81;5574237.54;acetylcarnitine_2912852.81_5574237.54
VAL;ACR;11;N;5574237.54;34746046.45;acetylcarnitine_5574237.54_34746046.45
NAME;ACR;11;N;;;acetylcarnitine
VAL;ACE2;4;N;1.96;6.42;acetylcarnitine-c2_1.96_6.42
VAL;ACE2;4;N;6.42;8.43;acetylcarnitine-c2_6.42_8.43
VAL;ACE2;5;N;8.43;10.95;acetylcarnitine-c2_8.43_10.95
VAL;ACE2;5;N;10.95;13.89;acetylcarnitine-c2_10.95_13.89
VAL;ACE2;5;N;13.89;33.93;acetylcarnitine-c2_13.89_33.93
NAME;ACE2;5;N;;;acetylcarnitine-c2
VAL;ADE;8;N;6942.9;12270.76;adenine_6942.9_12270.76
VAL;ADE;7;N;12270.76;17314.7;adenine_12270.76_17314.7
VAL;ADE;8;N;17314.7;28696.35;adenine_17314.7_28696.35
VAL;ADE;8;N;28696.35;50973.85;adenine_28696.35_50973.85
VAL;ADE;8;N;50973.85;372744.9;adenine_50973.85_372744.9
NAME;ADE;8;N;;;adenine
VAL;ADS;4;N;0.0;48.0;adenosine_0.0_48.0
NAME;ADS;4;N;;;adenosine
VAL;AE;6;N;-110.64;-87.23;ae_-110.64_-87.23
VAL;AE;6;N;-87.23;-79.82;ae_-87.23_-79.82
VAL;AE;6;N;-79.82;-70.53;ae_-79.82_-70.53
VAL;AE;6;N;-70.53;-61.94;ae_-70.53_-61.94
VAL;AE;6;N;-61.94;-20.88;ae_-61.94_-20.88
NAME;AE;6;N;;;ae
VAL;AGEP;4;N;1.0;41.0;age_1.0_41.0
VAL;AGEP;4;N;41.0;50.0;age_41.0_50.0
VAL;AGEP;4;N;50.0;54.0;age_50.0_54.0
VAL;AGEP;4;N;54.0;59.0;age_54.0_59.0
VAL;AGEP;4;N;59.0;67.0;age_59.0_67.0
NAME;AGEP;4;N;;;age
VAL;AGE2;3;N;0.8;1.7;age-value_0.8_1.7
VAL;AGE2;3;N;1.7;1.8;age-value_1.7_1.8
VAL;AGE2;3;N;1.8;2.0;age-value_1.8_2.0
VAL;AGE2;3;N;2.0;2.3;age-value_2.0_2.3
VAL;AGE2;3;N;2.3;3.5;age-value_2.3_3.5
NAME;AGE2;3;N;;;age-value
VAL;AI;6;N;-146.14;-88.56;ai_-146.14_-88.56
VAL;AI;6;N;-88.56;-67.16;ai_-88.56_-67.16
VAL;AI;6;N;-67.16;-45.94;ai_-67.16_-45.94
VAL;AI;6;N;-45.94;-23.07;ai_-45.94_-23.07
VAL;AI;6;N;-23.07;105.92;ai_-23.07_105.92
NAME;AI;6;N;;;ai
VAL;ALHI;8;N;264.96;19151.24;alanine-hi_264.96_19151.24
VAL;ALHI;8;N;19151.24;32145.13;alanine-hi_19151.24_32145.13
VAL;ALHI;8;N;32145.13;49484.03;alanine-hi_32145.13_49484.03
VAL;ALHI;9;N;49484.03;118991.68;alanine-hi_49484.03_118991.68
VAL;ALHI;9;N;118991.68;760593.63;alanine-hi_118991.68_760593.63
NAME;ALHI;9;N;;;alanine-hi
VAL;ALMS;4;N;1.13;1.73;alanine-ms_1.13_1.73
VAL;ALMS;3;N;1.73;2.0;alanine-ms_1.73_2.0
VAL;ALMS;4;N;2.0;2.26;alanine-ms_2.0_2.26
VAL;ALMS;4;N;2.26;2.68;alanine-ms_2.26_2.68
VAL;ALMS;4;N;2.68;4.71;alanine-ms_2.68_4.71
NAME;ALMS;4;N;;;alanine-ms
VAL;ALMU;4;N;0.11;0.59;alanine-mu_0.11_0.59
VAL;ALMU;3;N;0.59;1.0;alanine-mu_0.59_1.0
VAL;ALMU;4;N;1.0;1.42;alanine-mu_1.0_1.42
VAL;ALMU;4;N;1.42;2.25;alanine-mu_1.42_2.25
VAL;ALMU;4;N;2.25;7.67;alanine-mu_2.25_7.67
NAME;ALMU;4;N;;;alanine-mu
VAL;ALNS;4;N;0.13;0.38;alanine-ns_0.13_0.38
VAL;ALNS;4;N;0.38;0.44;alanine-ns_0.38_0.44
VAL;ALNS;4;N;0.44;0.48;alanine-ns_0.44_0.48
VAL;ALNS;4;N;0.48;0.53;alanine-ns_0.48_0.53
VAL;ALNS;4;N;0.53;0.74;alanine-ns_0.53_0.74
NAME;ALNS;4;N;;;alanine-ns
VAL;ALNU;5;N;0.0;16.19;alanine-nu_0.0_16.19
VAL;ALNU;4;N;16.19;22.9;alanine-nu_16.19_22.9
VAL;ALNU;4;N;22.9;29.0;alanine-nu_22.9_29.0
VAL;ALNU;5;N;29.0;38.01;alanine-nu_29.0_38.01
VAL;ALNU;6;N;38.01;126.58;alanine-nu_38.01_126.58
NAME;ALNU;6;N;;;alanine-nu
VAL;ALB;3;N;3.3;4.0;alb_3.3_4.0
VAL;ALB;3;N;4.0;4.3;alb_4.0_4.3
VAL;ALB;4;N;4.3;4.46;alb_4.3_4.46
VAL;ALB;4;N;4.46;4.69;alb_4.46_4.69
VAL;ALB;4;N;4.69;5.94;alb_4.69_5.94
NAME;ALB;4;N;;;alb
VAL;ALC;5;N;0.0;17.52;alcohol_0.0_17.52
VAL;ALC;4;N;17.52;67.9;alcohol_17.52_67.9
VAL;ALC;6;N;67.9;574.34;alcohol_67.9_574.34
NAME;ALC;6;N;;;alcohol
VAL;ALQN;3;N;1.0;1.0;aliquot-no_1.0_1.0
VAL;ALQN;3;N;2.0;2.0;aliquot-no_2.0_2.0
NAME;ALQN;3;N;;;aliquot-no
VAL;ALLHI;7;N;756.5;4573.61;allantoin-hi_756.5_4573.61
VAL;ALLHI;7;N;4573.61;7086.11;allantoin-hi_4573.61_7086.11
VAL;ALLHI;8;N;7086.11;10106.99;allantoin-hi_7086.11_10106.99
VAL;ALLHI;8;N;10106.99;15571.37;allantoin-hi_10106.99_15571.37
VAL;ALLHI;8;N;15571.37;46660.46;allantoin-hi_15571.37_46660.46
NAME;ALLHI;8;N;;;allantoin-hi
VAL;ALLNU;4;N;0.0;7.55;allantoin-nu_0.0_7.55
VAL;ALLNU;4;N;7.55;13.0;allantoin-nu_7.55_13.0
VAL;ALLNU;5;N;13.0;65.78;allantoin-nu_13.0_65.78
NAME;ALLNU;5;N;;;allantoin-nu
VAL;ALP2;4;N;0.0;3.49;allopurinol_0.0_3.49
VAL;ALP2;4;N;3.49;5.23;allopurinol_3.49_5.23
VAL;ALP2;4;N;5.23;89.0;allopurinol_5.23_89.0
NAME;ALP2;4;N;;;allopurinol
VAL;ALP;4;N;0.27;54.0;alp_0.27_54.0
VAL;ALP;4;N;54.0;63.4;alp_54.0_63.4
VAL;ALP;4;N;63.4;75.0;alp_63.4_75.0
VAL;ALP;4;N;75.0;88.8;alp_75.0_88.8
VAL;ALP;5;N;88.8;159.0;alp_88.8_159.0
NAME;ALP;5;N;;;alp
VAL;AABMS;3;N;0.05;0.1;alpha-aminobutyric-acid-ms_0.05_0.1
VAL;AABMS;4;N;0.1;0.12;alpha-aminobutyric-acid-ms_0.1_0.12
VAL;AABMS;4;N;0.12;0.14;alpha-aminobutyric-acid-ms_0.12_0.14
VAL;AABMS;4;N;0.14;0.18;alpha-aminobutyric-acid-ms_0.14_0.18
VAL;AABMS;4;N;0.18;0.84;alpha-aminobutyric-acid-ms_0.18_0.84
NAME;AABMS;4;N;;;alpha-aminobutyric-acid-ms
VAL;AABMU;4;N;0.0;0.01;alpha-aminobutyric-acid-mu_0.0_0.01
VAL;AABMU;4;N;0.01;0.02;alpha-aminobutyric-acid-mu_0.01_0.02
VAL;AABMU;4;N;0.02;0.03;alpha-aminobutyric-acid-mu_0.02_0.03
VAL;AABMU;4;N;0.03;0.05;alpha-aminobutyric-acid-mu_0.03_0.05
VAL;AABMU;4;N;0.05;0.23;alpha-aminobutyric-acid-mu_0.05_0.23
NAME;AABMU;4;N;;;alpha-aminobutyric-acid-mu
VAL;AHP;5;N;0.0;97.45;alpha-carotene_0.0_97.45
VAL;AHP;6;N;97.45;584.51;alpha-carotene_97.45_584.51
VAL;AHP;6;N;584.51;1307.5;alpha-carotene_584.51_1307.5
VAL;AHP;7;N;1307.5;2359.27;alpha-carotene_1307.5_2359.27
VAL;AHP;8;N;2359.27;29429.58;alpha-carotene_2359.27_29429.58
NAME;AHP;8;N;;;alpha-carotene
VAL;AMC;4;N;24.3;27.5;amc-(arm-muscle-circumference)_24.3_27.5
VAL;AMC;4;N;27.5;29.0;amc-(arm-muscle-circumference)_27.5_29.0
VAL;AMC;4;N;29.0;30.7;amc-(arm-muscle-circumference)_29.0_30.7
VAL;AMC;5;N;30.7;32.78;amc-(arm-muscle-circumference)_30.7_32.78
VAL;AMC;4;N;32.78;46.6;amc-(arm-muscle-circumference)_32.78_46.6
NAME;AMC;4;N;;;amc-(arm-muscle-circumference)
VAL;AAAMS;4;N;0.0;0.01;aminoadipic-acid-ms_0.0_0.01
VAL;AAAMS;4;N;0.01;0.01;aminoadipic-acid-ms_0.01_0.01
VAL;AAAMS;4;N;0.01;0.01;aminoadipic-acid-ms_0.01_0.01
VAL;AAAMS;4;N;0.01;0.02;aminoadipic-acid-ms_0.01_0.02
VAL;AAAMS;4;N;0.02;0.22;aminoadipic-acid-ms_0.02_0.22
NAME;AAAMS;4;N;;;aminoadipic-acid-ms
VAL;AAAMU;4;N;0.02;0.11;aminoadipic-acid-mu_0.02_0.11
VAL;AAAMU;4;N;0.11;0.18;aminoadipic-acid-mu_0.11_0.18
VAL;AAAMU;4;N;0.18;0.27;aminoadipic-acid-mu_0.18_0.27
VAL;AAAMU;3;N;0.27;0.4;aminoadipic-acid-mu_0.27_0.4
VAL;AAAMU;4;N;0.4;3.64;aminoadipic-acid-mu_0.4_3.64
NAME;AAAMU;4;N;;;aminoadipic-acid-mu
VAL;ANAC;5;N;50.0;87.44;ans-activity_50.0_87.44
VAL;ANAC;5;N;87.44;101.2;ans-activity_87.44_101.2
VAL;ANAC;5;N;101.2;113.4;ans-activity_101.2_113.4
VAL;ANAC;6;N;113.4;131.06;ans-activity_113.4_131.06
VAL;ANAC;5;N;131.06;150.0;ans-activity_131.06_150.0
NAME;ANAC;5;N;;;ans-activity
VAL;ANBL;5;N;0.5;27.62;ans-balance_0.5_27.62
VAL;ANBL;4;N;27.62;57.4;ans-balance_27.62_57.4
VAL;ANBL;4;N;57.4;84.2;ans-balance_57.4_84.2
VAL;ANBL;5;N;84.2;103.5;ans-balance_84.2_103.5
VAL;ANBL;5;N;103.5;142.7;ans-balance_103.5_142.7
NAME;ANBL;5;N;;;ans-balance
VAL;AOAC;5;N;9.51;58.25;aoac_9.51_58.25
VAL;AOAC;5;N;58.25;73.18;aoac_58.25_73.18
VAL;AOAC;5;N;73.18;90.82;aoac_73.18_90.82
VAL;AOAC;6;N;90.82;107.92;aoac_90.82_107.92
VAL;AOAC;5;N;107.92;600.1;aoac_107.92_600.1
NAME;AOAC;5;N;;;aoac
VAL;APEN;4;N;0.43;0.78;apen_0.43_0.78
VAL;APEN;4;N;0.78;0.92;apen_0.78_0.92
VAL;APEN;4;N;0.92;1.01;apen_0.92_1.01
VAL;APEN;4;N;1.01;1.09;apen_1.01_1.09
VAL;APEN;4;N;1.09;1.28;apen_1.09_1.28
NAME;APEN;4;N;;;apen
VAL;ARGMS;4;N;0.23;0.43;arginine-ms_0.23_0.43
VAL;ARGMS;4;N;0.43;0.52;arginine-ms_0.43_0.52
VAL;ARGMS;4;N;0.52;0.62;arginine-ms_0.52_0.62
VAL;ARGMS;4;N;0.62;0.75;arginine-ms_0.62_0.75
VAL;ARGMS;4;N;0.75;1.98;arginine-ms_0.75_1.98
NAME;ARGMS;4;N;;;arginine-ms
VAL;ARGMU;4;N;0.01;0.06;arginine-mu_0.01_0.06
VAL;ARGMU;4;N;0.06;0.09;arginine-mu_0.06_0.09
VAL;ARGMU;4;N;0.09;0.13;arginine-mu_0.09_0.13
VAL;ARGMU;4;N;0.13;0.19;arginine-mu_0.13_0.19
VAL;ARGMU;4;N;0.19;0.78;arginine-mu_0.19_0.78
NAME;ARGMU;4;N;;;arginine-mu
VAL;ARGNU;4;N;0.0;51.5;arginine-nu_0.0_51.5
VAL;ARGNU;5;N;51.5;64.91;arginine-nu_51.5_64.91
